Tab. 4 Altre modalità di raccolta differenziata in base alle tipologie di rifiuto e di utenza
Cod. Rif.; Tipo di rifiuto; Utenze interessate; Limiti di accettabilità e frequenze; Luogo di conferimento ed orari
4.1; Indumenti usati; Solo domestiche; Nessuno, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente 
4.2; Vetro in lastre e grossi recipienti; Domestiche, commerciali, artigianali e di servizio; Quantità : non superiore a 2 pezzi, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni e/o esercizi dalle ore  20.00 del giorno precedente
4.3; Ferro ( pezzi di mobili disassemblati piccoli oggetti); Domestiche, commerciali, artigianali e di servizio; Quantità : non superiore a 10 pezzi, Frequenza: settimanale/giovedì, Previo richiesta telefonica; Fuori dalle proprie abitazioni e/o esercizi dalle ore 20.00 del giorno precedente
4.4; Legno, Assi, pezzi di mobili disassemblati, cassette; Domestiche, commerciali, artigianali e di servizio; Quantità : non superiore a 10 pezzi, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni e/o esercizi dalle ore 20.00 del giorno precedente
4.5; Ingombranti - mobili ( armadi, tavoli, poltrone, divani, reti per letto, sedie, ecc. ) - oggetti diversi (materassi, cucine, scaldabagni, piante di arredamento); Solo domestiche; Quantità : non superiore a 3 pezzi, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore  20.00 del giorno precedente 
4.6; Ingombranti : - rifiuti voluminosi che non sono prodotti in ambito domestico, come : biciclette, canotti e altri rottami - rifiuti voluminosi prodotti da piccole attività di ristrutturazione come : porte, finestre, tapparelle, mouquette, lavandini, vasche da bagno, ecc; Solo domestiche; Quantità : non superiore a 2 pezzi, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente
4.7; Beni durevoli dismessi; Solo domestiche; Quantità : non superiore a pezzi 1 per ogni tipologia, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente
4.8; Inerti; Solo domestiche; Quantità : non superiore a Kg. 50, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore  20.00 del giorno precedente
4.9; Rifiuti verdi e potature; Solo domestiche; Quantità : non superiore a Kg. 50, Frequenza: settimanale/giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente
4.10; Prodotti e contenitori etichettati con i simboli T e/o F e pitture in genere; Solo domestiche; Quantità : non superiore a 4 pezzi, Frequenza: settimanale / giovedì, Previo richiesta telefonica,  Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente 
4.11; Lampade fluorescenti (da depositare integre); Solo domestiche; Quantità : non superiore a 4 pezzi, Frequenza: settimanale / giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento al mese per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente
4.12; Batterie auto; Solo domestiche; Quantità : non superiore a 1 pezzi, Frequenza: settimanale / giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento ogni tre mesi per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente 
4.13; Pneumatici; Solo domesticheQuantità : non superiore a 4 pezzi,  Frequenza: settimanale / giovedì, Previo richiesta telefonica, Non è consentito più di un conferimento ogni anno per utenza; Fuori dalle proprie abitazioni dalle ore 20.00 del giorno precedente 
