Cuomo Giuseppe - SINDACO - Presente
Ciampa Guglielmina; Componente del Consiglio; Presente
Di Prisco Luigi; Componente del Consiglio; Presente
Acampora Alessandro; Componente del Consiglio; Assente
Palomba Rachele; Componente del Consiglio; Presente
Gargiulo Mariano; Componente del Consiglio; Presente
Marzuillo Emilio Stefano; Componente del Consiglio; Presente
Pontecorvo Mariano; Componente del Consiglio; Assente
Cuomo Federico; Componente del Consiglio; Presente
Maddaluno Orsola Anna; Componente del Consiglio; Presente
Ioviero Giuseppina Desiree; Componente del Consiglio; Assente
Fiorentino Lorenzo; Componente del Consiglio; Presente
Di Leva Salvatore; Componente del Consiglio; Presente
De Nicola Raffaela; Componente del Consiglio; Assente
Fiorentino Antonino; Componente del Consiglio; Presente
Mauro Francesco; Componente del Consiglio; Presente
Fiorentino Marco; Componente del Consiglio; Presente
