entry;pos;concept;subterms;structure;usage_note_admin;usage_note_info
abbandonare rifiuti;VERB;abbandonare rifiuti;rifiuto_NOUN;multi-word;preferred;preferred
abbandono;NOUN;abbandono dei rifiuti;;single-word;admitted;admitted
abbandono abusivo dei rifiuti;NOUN;abbandono dei rifiuti;"abbandono dei rifiuti_NOUN; rifiuto_NOUN";multi-word;admitted;admitted
abbandono dei rifiuti;NOUN;abbandono dei rifiuti;rifiuto_NOUN;multi-word;preferred;preferred
abbandono di rifiuti;NOUN;abbandono dei rifiuti;rifiuto_NOUN;multi-word;admitted;admitted
abbandono di rifiuti non pericolosi e non ingombranti;NOUN;abbandono dei rifiuti;"abbandono di rifiuti_NOUN; pericoloso_ADJ; rifiuto_NOUN; rifiuto non ingombrante_NOUN; rifiuto non pericoloso_NOUN";multi-word;;
abbandono dei rifiuti urbani pericolosi ed ingombranti;NOUN;abbandono dei rifiuti pericolosi;"abbandono dei rifiuti_NOUN; ingombrante_NOUN; pericoloso_ADJ; rifiuto_NOUN; rifiuto urbano_NOUN; rifiuto urbano ingombrante_NOUN; rifiuto urbano pericoloso_NOUN; rifiuto urbano pericoloso ed ingombrante_NOUN";multi-word;;
fe;NOUN;acciaio;;symbol;;
agevolazione tari;NOUN;agevolazione tari;tari_NOUN;mixed compound;admitted;preferred
agevolazione tassa rifiuti;NOUN;agevolazione tari;"rifiuto_NOUN; tassa rifiuti_NOUN";multi-word;preferred;admitted
al;PROPN;alluminio;;symbol;;
alluminio;NOUN;alluminio;;single-word;admitted;admitted
analisi merceologica;NOUN;analisi merceologica;;multi-word;;
apparecchiatura elettrica/elettronica;NOUN;apparecchiature elettriche ed elettroniche;;multi-word;admitted;admitted
apparecchiature elettriche ed elettroniche;NOUN;apparecchiature elettriche ed elettroniche;;multi-word;preferred;preferred
frigoriferi e sistemi per il condizionamento;NOUN;apparecchiature refrigeranti;;multi-word;;
area tecnica ambientale;NOUN;area tecnica ambientale;;multi-word;;
area tecnica ambientale cimitero;NOUN;area tecnica ambientale;area tecnica ambientale_NOUN;multi-word;;
area tecnica e tutela dell'ambiente;NOUN;area tecnica ambientale;;multi-word;;
settore ambiente ufficio servizi esternalizzati e raccolta differenziata;NOUN;area tecnica ambientale;"raccolta_NOUN; raccolta differenziata_NOUN; ufficio servizi esternalizzati e raccolta differenziata_NOUN";multi-word;;
settore ecologia ed ambiente;NOUN;area tecnica ambientale;;multi-word;;
assessorato all'ambiente;NOUN;assessorato all'ambiente;;multi-word;;
assimilabilità;NOUN;assimilabilità ai rifiuti urbani;;single-word;;
attivazione del servizio;NOUN;attivazione del servizio di gestione dei rifiuti;;multi-word;;
attività di front line;NOUN;attività di front line;;multi-word;;
kit compostiere;NOUN;attrezzature per il compostaggio domestico;compostiera_NOUN;multi-word;;
attrezzatura per la raccolta domiciliare;NOUN;attrezzature per la raccolta differenziata;"raccolta_NOUN; raccolta domiciliare_NOUN";multi-word;admitted;admitted
attrezzature per la raccolta;NOUN;attrezzature per la raccolta differenziata;raccolta_NOUN;multi-word;admitted;admitted
autocarro compattatore;NOUN;autocompattatore;;multi-word;preferred;admitted
autocompattatore;NOUN;autocompattatore;;single-word;admitted;preferred
autocompattatore per la raccolta di rifiuti solidi urbani;NOUN;autocompattatore;"autocompattatore_NOUN; raccolta_NOUN; raccolta di rifiuti_NOUN; raccolta di rifiuti solidi urbani_NOUN; rifiuto_NOUN; rifiuto solido urbano_NOUN; rifiuto urbano_NOUN";multi-word;admitted;admitted
autocompattatore per raccolta rifiuti solidi urbani;NOUN;autocompattatore;"autocompattatore_NOUN; raccolta_NOUN; raccolta rifiuti_NOUN; raccolta rifiuti solidi urbani_NOUN; rifiuto_NOUN; rifiuto solido urbano_NOUN; rifiuto urbano_NOUN";multi-word;deprecated;deprecated
