form;feats;lemma;pos
20 01 38;;20 01 38;NUM
20 0201;;20 0201;NUM
20 03 07;;20 03 07;NUM
20.01.08;;20.01.08;NUM
abbandonare rifiuti;;abbandonare rifiuti;VERB
abbandono;Gender=Masc|Number=Sing;abbandono;NOUN
abbandono abusivo dei rifiuti;Gender=Masc|Number=Sing;abbandono abusivo dei rifiuti;NOUN
abbandono dei rifiuti;Gender=Masc|Number=Sing;abbandono dei rifiuti;NOUN
abbandono dei rifiuti urbani pericolosi ed ingombranti;Gender=Masc|Number=Sing;abbandono dei rifiuti urbani pericolosi ed ingombranti;NOUN
abbandono di rifiuti;Gender=Masc|Number=Sing;abbandono di rifiuti;NOUN
abbandono di rifiuti non pericolosi e non ingombranti;Gender=Masc|Number=Sing;abbandono di rifiuti non pericolosi e non ingombranti;NOUN
abbigliamento;Gender=Masc|Number=Sing;abbigliamento;NOUN
abiti;Gender=Masc|Number=Plur;abito;NOUN
abiti dismessi;Gender=Masc|Number=Plur;abito dismesso;NOUN
abiti usati;Gender=Masc|Number=Plur;abito usato;NOUN
abito;Gender=Masc|Number=Sing;abito;NOUN
abito dismesso;Gender=Masc|Number=Sing;abito dismesso;NOUN
abito usato;Gender=Masc|Number=Sing;abito usato;NOUN
acc;;acc;PROPN
accumulatore;Gender=Masc|Number=Sing;accumulatore;NOUN
accumulatore al piombo;Gender=Masc|Number=Sing;accumulatore al piombo;NOUN
accumulatore esausto;Gender=Masc|Number=Sing;accumulatore esausto;NOUN
accumulatori al piombo;Gender=Masc|Number=Plur;accumulatore al piombo;NOUN
accumulatori esausti;Gender=Masc|Number=Plur;accumulatore esausto;NOUN
addetti al servizio dell'isola;Gender=Masc|Number=Plur;addetto al servizio dell'isola;NOUN
addetti alla gestione;Gender=Masc|Number=Plur;addetto alla gestione;NOUN
addetto al servizio dell'isola;Gender=Masc|Number=Sing;addetto al servizio dell'isola;NOUN
addetto all'isola;Gender=Masc|Number=Sing;addetto all'isola;NOUN
addetto alla gestione;Gender=Masc|Number=Sing;addetto alla gestione;NOUN
agevolazione tari;Gender=Fem|Number=Sing;agevolazione tari;NOUN
agevolazione tassa rifiuti;Gender=Fem|Number=Sing;agevolazione tassa rifiuti;NOUN
agevolazioni tari;Gender=Fem|Number=Plur;agevolazione tari;NOUN
agevolazioni tassa rifiuti;Gender=Fem|Number=Plur;agevolazione tassa rifiuti;NOUN
al;;al;PROPN
alluminio;Gender=Masc|Number=Sing;alluminio;NOUN
analisi merceologica;Gender=Fem|Number=Sing;analisi merceologica;NOUN
analisi merceologiche;Gender=Fem|Number=Plur;analisi merceologica;NOUN
apparecchiatura elettrica/elettronica;Gender=Fem|Number=Sing;apparecchiatura elettrica/elettronica;NOUN
apparecchiature elettriche ed elettroniche;Gender=Fem|Number=Plur;apparecchiature elettriche ed elettroniche;NOUN
apparecchiature elettriche/elettroniche;Gender=Fem|Number=Plur;apparecchiatura elettrica/elettronica;NOUN
area assoggettabile al tributo;Gender=Fem|Number=Sing;area assoggettabile al tributo;NOUN
area tecnica ambientale;Gender=Fem|Number=Sing;area tecnica ambientale;NOUN
area tecnica ambientale cimitero;Gender=Fem|Number=Sing;area tecnica ambientale cimitero;NOUN
area tecnica e tutela dell'ambiente;Gender=Fem|Number=Sing;area tecnica e tutela dell'ambiente;NOUN
aree assoggettabili al tributo;Gender=Fem|Number=Plur;area assoggettabile al tributo;NOUN
assessorato all'ambiente;Gender=Masc|Number=Sing;assessorato all'ambiente;NOUN
assimilabilità;Gender=Fem|Number=Sing;assimilabilità;NOUN
attivazione del servizio;Gender=Fem|Number=Sing;attivazione del servizio;NOUN
attività di bollettazione;Gender=Fem|Number=Sing;attività di bollettazione;NOUN
attività di front line;Gender=Fem|Number=Sing;attività di front line;NOUN
attività di pulitura e bruciatura;Gender=Fem|Number=Sing;attività di pulitura e bruciatura;NOUN
attività di pulizia dei fondali;Gender=Fem|Number=Sing;attività di pulizia dei fondali;NOUN
attività di recupero dell'evasione;Gender=Fem|Number=Sing;attività di recupero dell'evasione;NOUN
attrezzatura per la raccolta domiciliare;Gender=Fem|Number=Sing;attrezzatura per la raccolta domiciliare;NOUN
attrezzature per la raccolta;Gender=Fem|Number=Plur;attrezzature per la raccolta;NOUN
attrezzature per la raccolta domiciliare;Gender=Fem|Number=Plur;attrezzatura per la raccolta domiciliare;NOUN
autocarro compattatore;Gender=Masc|Number=Sing;autocarro compattatore;NOUN
autocompattatore;Gender=Masc|Number=Sing;autocompattatore;NOUN
autocompattatore per la raccolta di rifiuti solidi urbani;Gender=Masc|Number=Sing;autocompattatore per la raccolta di rifiuti solidi urbani;NOUN
autocompattatore per raccolta rifiuti solidi urbani;Gender=Masc|Number=Sing;autocompattatore per raccolta rifiuti solidi urbani;NOUN
autorizzazione unica ambientale;Gender=Fem|Number=Sing;autorizzazione unica ambientale;NOUN
autospazzatrice;Gender=Fem|Number=Sing;autospazzatrice;NOUN
avanzi di cucina cotti e crudi;Gender=Masc|Number=Plur;avanzi di cucina cotti e crudi;NOUN
avvio a riciclo;Gender=Masc|Number=Sing;avvio a riciclo;NOUN
avvisi di pagamento;Gender=Masc|Number=Plur;avviso di pagamento;NOUN
avviso di pagamento;Gender=Masc|Number=Sing;avviso di pagamento;NOUN
banda stagnata;Gender=Fem|Number=Sing;banda stagnata;NOUN
batteria;Gender=Fem|Number=Sing;batteria;NOUN
batteria al piombo;Gender=Fem|Number=Sing;batteria al piombo;NOUN
batteria auto;Gender=Fem|Number=Sing;batteria auto;NOUN
batterie;Gender=Fem|Number=Plur;batteria;NOUN
batterie al piombo;Gender=Fem|Number=Plur;batteria al piombo;NOUN
batterie auto;Gender=Fem|Number=Plur;batteria auto;NOUN
bene durevole;Gender=Masc|Number=Sing;bene durevole;NOUN
bene durevole dismesso;Gender=Masc|Number=Sing;bene durevole dismesso;NOUN
beni durevoli;Gender=Masc|Number=Sing;bene durevole;NOUN
beni durevoli dismessi;Gender=Masc|Number=Plur;bene durevole dismesso;NOUN
bidone;Gender=Masc|Number=Sing;bidone;NOUN
bidone carrellato;Gender=Masc|Number=Sing;bidone carrellato;NOUN
bidone portarifiuti;Gender=Masc|Number=Sing;bidone portarifiuti;NOUN
bidoni carrellati;Gender=Masc|Number=Plur;bidone carrellato;NOUN
bidoni portarifiuti;Gender=Masc|Number=Plur;bidone portarifiuti;NOUN
biodegradabile;Gender=Fem|Number=Sing;biodegradabile;ADJ
biodegradabili;Gender=Fem|Number=Plur;biodegradabile;ADJ
biodiesel;Gender=Masc|Number=Sing;biodiesel;NOUN
biodiversità;Gender=Fem|Number=Sing;biodiversità;NOUN
bioplastica;Gender=Fem|Number=Sing;bioplastica;NOUN
bioplastica compostabile;Gender=Fem|Number=Sing;bioplastica compostabile;NOUN
bioplastiche compostabili;Gender=Fem|Number=Plur;bioplastica compostabile;NOUN
bolletta;Gender=Fem|Number=Sing;bolletta;NOUN
bollette;Gender=Fem|Number=Plur;bolletta;NOUN
bonifica dei fondali;Gender=Fem|Number=Sing;bonifica dei fondali;NOUN
box in cartone;Gender=Masc;box in cartone;NOUN
busta;Gender=Fem|Number=Sing;busta;NOUN
busta a sacchetto;Gender=Fem|Number=Sing;busta a sacchetto;NOUN
busta con legaccio;Gender=Fem|Number=Sing;busta con legaccio;NOUN
busta di carta;Gender=Fem|Number=Sing;busta di carta;NOUN
busta di carta con legaccio;Gender=Fem|Number=Sing;busta di carta con legaccio;NOUN
busta di plastica;Gender=Fem|Number=Sing;busta di plastica;NOUN
busta nera;Gender=Fem|Number=Sing;busta nera;NOUN
buste;Gender=Fem|Number=Plur;busta;NOUN
buste a sacchetto;Gender=Fem|Number=Plur;busta a sacchetto;NOUN
buste di plastica;Gender=Fem|Number=Plur;busta di plastica;NOUN
buste nere;Gender=Fem|Number=Plur;busta nera;NOUN
calendari di raccolta;Gender=Masc|Number=Plur;calendario di raccolta;NOUN
calendario;Gender=Masc|Number=Sing;calendario;NOUN
calendario di conferimento;Gender=Masc|Number=Sing;calendario di conferimento;NOUN
calendario di conferimento e raccolta;Gender=Masc|Number=Sing;calendario di conferimento e raccolta;NOUN
calendario di conferimento e ritiro dei rsu;Gender=Masc|Number=Sing;calendario di conferimento e ritiro dei rsu;NOUN
calendario di conferimento utenze domestiche;Gender=Masc|Number=Sing;calendario di conferimento utenze domestiche;NOUN
calendario di raccolta;Gender=Masc|Number=Sing;calendario di raccolta;NOUN
calendario di raccolta dei rifiuti solidi urbani;Gender=Masc|Number=Sing;calendario di raccolta dei rifiuti solidi urbani;NOUN
calendario di raccolta porta a porta;Gender=Masc|Number=Sing;calendario di raccolta porta a porta;NOUN
calendario di raccolta rifiuti;Gender=Masc|Number=Sing;calendario di raccolta rifiuti;NOUN
calendario raccolta rifiuti;Gender=Masc|Number=Sing;calendario raccolta rifiuti;NOUN
calendario utenze domestiche;Gender=Masc|Number=Sing;calendario utenze domestiche;NOUN
calendario utenze domestiche per la raccolta differenziata;Gender=Masc|Number=Sing;calendario utenze domestiche per la raccolta differenziata;NOUN
campana;Gender=Fem|Number=Sing;campana;NOUN
campane;Gender=Fem|Number=Plur;campana;NOUN
capacità di gestione ambientale;Gender=Fem|Number=Sing;capacità di gestione ambientale;NOUN
capitolato speciale di appalto del servizio di igiene urbana;Gender=Masc|Number=Sing;capitolato speciale di appalto del servizio di igiene urbana;NOUN
capitolato speciale di appalto del servizio di igiene urbana della città;Gender=Masc|Number=Sing;capitolato speciale di appalto del servizio di igiene urbana della città;NOUN
card;Gender=Fem|Number=Sing;card;NOUN
carico dei rifiuti;Gender=Masc|Number=Sing;carico dei rifiuti;NOUN
carrellati;Gender=Masc|Number=Plur;carrellato;NOUN
carrellati condominiali;Gender=Masc|Number=Plur;carrellato condominiale;NOUN
carrellato;Gender=Masc|Number=Sing;carrellato;NOUN
carrellato condominiale;Gender=Masc|Number=Sing;carrellato condominiale;NOUN
carta;Gender=Fem|Number=Sing;carta;NOUN
carta - cartone;Gender=Fem|Number=Sing;carta - cartone;NOUN
carta - cartone - tetra pak;Gender=Fem|Number=Sing;carta - cartone - tetra pak;NOUN
carta cartone;Gender=Fem|Number=Sing;carta cartone;NOUN
carta cartone e tetra pak;Gender=Fem|Number=Sing;carta cartone e tetra pak;NOUN
carta dei servizi;Gender=Fem|Number=Sing;carta dei servizi;NOUN
